taxiCount,clientCount,taxiSeatCount,spawnScenario,moderation,factor,factorFrom,factorTo,moderator,moderatorFrom,moderatorTo,outcome,effectScale,scope,seeds,effectAtModeratorFromMean,effectAtModeratorToMean,interactionMean,interactionStd,ci95Low,ci95High,sameDirectionSeeds,pValue,pValueHolm
1685.0,27762.0,1.0,RUSH_HOUR,hops_by_radius,kHops,0,2,p2pRqsRadius,1000,3000,distance,relative percent,city-scenario,10,1.3559671962141162,0.791430460147271,-0.5645367360668452,0.3513386265433304,-0.815869248905075,-0.31320422322861546,9,0.0006617588742767276,0.017867489605471645
1685.0,27762.0,1.0,RUSH_HOUR,hops_by_radius,kHops,0,2,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario,10,0.5532742597795549,0.07565197031914161,-0.4776222894604132,0.10492923702350761,-0.5526841438052668,-0.4025604351155596,10,1.6129125227027487e-07,7.0968150998920945e-06
1685.0,27762.0,1.0,RUSH_HOUR,hops_by_radius,kHops,0,2,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario,10,-8.032145465479271,-1.2251130851048198,6.8070323803744515,0.4686542204898749,6.471777347226437,7.142287413522466,10,5.4999627617935695e-12,3.4099769123120133e-10
1685.0,27762.0,1.0,RUSH_HOUR,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,distance,relative percent,city-scenario,10,43.16008270485489,30.12251013312643,-13.037572571728452,1.5217797863958424,-14.12618825132018,-11.948956892136724,10,6.160445943187064e-10,2.9570140527297906e-08
1685.0,27762.0,1.0,RUSH_HOUR,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario,10,0.5197302067574372,-0.6815521216050723,-1.2012823283625096,0.4030459170613295,-1.4896040085627353,-0.9129606481622838,10,5.843687038496597e-06,0.00021037273338587748
1685.0,27762.0,1.0,RUSH_HOUR,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario,10,20.590261460416656,42.56059491380308,21.970333453386424,7.867436123209859,16.34230869022612,27.59835821654673,10,9.968795717112477e-06,0.0003489078500989367
1685.0,27762.0,1.0,RUSH_HOUR,shortcuts_by_hops,p2pOverlayShortcuts,0,1,kHops,0,2,distance,relative percent,city-scenario,10,0.0,1.265178171450907,1.265178171450907,0.11202534579146407,1.1850400666932512,1.3453162762085626,10,5.234306845828389e-11,2.82652569674733e-09
1685.0,27762.0,1.0,RUSH_HOUR,shortcuts_by_hops,p2pOverlayShortcuts,0,1,kHops,0,2,pickup,percentage points,city-scenario,10,0.0,0.31248349062267256,0.31248349062267256,0.030015441394316077,0.2910117373349603,0.33395524391038484,10,1.0835195582381325e-10,5.6343017028382895e-09
1685.0,27762.0,1.0,RUSH_HOUR,shortcuts_by_hops,p2pOverlayShortcuts,0,1,kHops,0,2,waiting,relative percent,city-scenario,10,0.0,-5.686384575978187,-5.686384575978187,0.48342427719531267,-6.032205471192276,-5.340563680764099,10,3.6373170732997e-11,2.036897561047832e-09
1685.0,27762.0,1.0,SPATIAL_IMBALANCE,hops_by_radius,kHops,0,2,p2pRqsRadius,1000,3000,distance,relative percent,city-scenario,10,2.2340802691966943,5.586735221295944,3.3526549520992495,0.26033592860371424,3.166421847695695,3.538888056502804,10,1.616450628517231e-11,9.698703771103385e-10
