variant_k,kHops,spawnScenario,taxiCount,taxiSeatCount,p2pRqsRadius,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,idleRoamingMode,Calculation Time [millis],Client Travel Time [min],Client Waiting Time [min],Simulation Time [millis],Taxi Travel Distance [km]
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,60,1,1000,1,4,1,return-to-hq,0.04,449.4975,3.48,0.045,101.1875
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,60,1,2000,1,4,0,none,0.095,1921.1149999999998,23.62,0.105,57.364999999999995
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,60,1,2000,1,4,0,page-rank,0.01,291.4775,1.1400000000000001,0.01,118.25
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,60,1,2000,1,4,0,return-to-hq,0.0125,298.6225,1.2349999999999999,0.02,107.3675
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,60,1,2000,1,4,1,none,0.0925,1747.6675,22.2475,0.095,61.9525
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,60,1,2000,1,4,1,page-rank,0.01,291.38,1.1375,0.01,117.2
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,60,1,2000,1,4,1,return-to-hq,0.015000000000000001,294.27,1.1724999999999999,0.02,107.4
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,550,1,1000,1,4,0,none,11.23,4699.035,63.237500000000004,11.36,30.875
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,550,1,1000,1,4,0,page-rank,0.8,423.2375,1.4825,0.8875,148.695
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,550,1,1000,1,4,0,return-to-hq,3.015,522.9300000000001,3.1525,3.105,121.935
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,550,1,1000,1,4,1,none,9.55,4684.7325,63.432500000000005,9.6675,31.3125
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,550,1,1000,1,4,1,page-rank,0.8275,414.63,1.3325,0.915,149.35
